ID,Observed,Expected,OE,RR_L,date
54471,72,37.0,1.95,1.95,2021-12-02
54473,56,55.18,1.01,1.01,2021-12-02
54474,148,80.52,1.84,1.84,2021-12-02
54475,36,32.74,1.1,1.1,2021-12-02
54476,672,395.42,1.7,1.7,2021-12-02
54479,95,82.66,1.15,1.15,2021-12-02
54480,37,29.31,1.26,1.26,2021-12-02
54481,557,594.73,0.94,0.94,2021-12-02
54499,72,62.02,1.16,1.16,2021-12-02
54482,189,207.64,0.91,0.91,2021-12-02
54486,23,39.84,0.58,0.58,2021-12-02
54487,133,197.22,0.67,0.67,2021-12-02
54488,42,25.27,1.66,1.66,2021-12-02
54489,45,34.5,1.3,1.3,2021-12-02
54490,18,15.84,1.14,1.14,2021-12-02
54491,14,32.32,0.43,0.43,2021-12-02
54493,0,12.47,0.0,0.0,2021-12-02
54494,888,552.39,1.61,1.61,2021-12-02
54495,272,152.27,1.79,1.79,2021-12-02
54484,178,106.23,1.68,1.68,2021-12-02
54540,7,19.04,0.37,0.37,2021-12-02
54635,39,37.29,1.05,1.05,2021-12-02
54542,0,8.36,0.0,0.0,2021-12-02
54612,109,105.21,1.04,1.04,2021-12-02
54613,24,34.56,0.69,0.69,2021-12-02
54614,85,55.41,1.53,1.53,2021-12-02
54615,277,218.9,1.27,1.27,2021-12-02
54616,37,55.08,0.67,0.67,2021-12-02
54618,100,47.78,2.09,2.09,2021-12-02
54619,107,80.98,1.32,1.32,2021-12-02
54621,32,30.47,1.05,1.05,2021-12-02
54622,47,39.12,1.2,1.2,2021-12-02
54611,59,23.74,2.49,2.49,2021-12-02
54623,62,44.52,1.39,1.39,2021-12-02
54625,3,4.99,0.6,0.6,2021-12-02
54626,35,27.85,1.26,1.26,2021-12-02
54627,34,35.48,0.96,0.96,2021-12-02
54628,19,20.49,0.93,0.93,2021-12-02
54629,82,54.16,1.51,1.51,2021-12-02
54630,94,86.73,1.08,1.08,2021-12-02
54631,58,35.46,1.64,1.64,2021-12-02
54632,3,23.53,0.13,0.13,2021-12-02
54634,95,93.16,1.02,1.02,2021-12-02
54624,14,29.56,0.47,0.47,2021-12-02
54541,30,27.17,1.1,1.1,2021-12-02
54610,19,34.27,0.55,0.55,2021-12-02
54601,929,1047.28,0.89,0.89,2021-12-02
54545,1,16.79,0.06,0.06,2021-12-02
54546,0,23.26,0.0,0.0,2021-12-02
54547,4,28.37,0.14,0.14,2021-12-02
54548,102,100.87,1.01,1.01,2021-12-02
54550,12,13.59,0.88,0.88,2021-12-02
54552,125,84.61,1.48,1.48,2021-12-02
54554,23,21.68,1.06,1.06,2021-12-02
54555,212,99.27,2.14,2.14,2021-12-02
54556,30,24.09,1.25,1.25,2021-12-02
54603,309,292.85,1.06,1.06,2021-12-02
54557,7,17.42,0.4,0.4,2021-12-02
54559,9,18.56,0.48,0.48,2021-12-02
54560,0,11.81,0.0,0.0,2021-12-02
54562,20,38.62,0.52,0.52,2021-12-02
54563,23,16.23,1.42,1.42,2021-12-02
54564,0,8.21,0.0,0.0,2021-12-02
54565,0,0.81,0.0,0.0,2021-12-02
54566,45,26.17,1.72,1.72,2021-12-02
54568,109,106.19,1.03,1.03,2021-12-02
54558,50,41.57,1.2,1.2,2021-12-02
54469,84,35.69,2.35,2.35,2021-12-02
54162,256,189.7,1.35,1.35,2021-12-02
54466,69,57.39,1.2,1.2,2021-12-02
54220,1029,810.76,1.27,1.27,2021-12-02
54227,21,32.44,0.65,0.65,2021-12-02
54228,71,57.55,1.23,1.23,2021-12-02
54229,118,105.29,1.12,1.12,2021-12-02
54230,136,98.52,1.38,1.38,2021-12-02
54232,14,17.46,0.8,0.8,2021-12-02
54234,32,34.17,0.94,0.94,2021-12-02
54235,362,350.01,1.03,1.03,2021-12-02
54241,328,291.27,1.13,1.13,2021-12-02
54217,159,151.33,1.05,1.05,2021-12-02
54245,57,42.94,1.33,1.33,2021-12-02
54247,57,41.32,1.38,1.38,2021-12-02
54301,582,446.89,1.3,1.3,2021-12-02
54302,602,657.47,0.92,0.92,2021-12-02
54303,655,569.83,1.15,1.15,2021-12-02
54304,654,567.73,1.15,1.15,2021-12-02
54307,0,24.38,0.0,0.0,2021-12-02
54311,843,754.25,1.12,1.12,2021-12-02
54313,954,807.2,1.18,1.18,2021-12-02
54401,937,634.94,1.48,1.48,2021-12-02
54246,0,17.67,0.0,0.0,2021-12-02
54216,172,129.82,1.32,1.33,2021-12-02
54214,6,5.34,1.12,1.12,2021-12-02
54213,35,28.0,1.25,1.25,2021-12-02
54636,432,303.18,1.42,1.43,2021-12-02
54165,145,158.81,0.91,0.91,2021-12-02
54166,303,345.44,0.88,0.88,2021-12-02
54169,64,57.7,1.11,1.11,2021-12-02
54170,102,73.97,1.38,1.38,2021-12-02
54171,113,76.36,1.48,1.48,2021-12-02
54173,103,91.99,1.12,1.12,2021-12-02
54174,41,62.52,0.66,0.66,2021-12-02
54175,4,19.45,0.21,0.21,2021-12-02
54177,127,57.88,2.19,2.2,2021-12-02
54180,91,72.54,1.25,1.25,2021-12-02
54201,81,106.75,0.76,0.76,2021-12-02
54202,11,26.85,0.41,0.41,2021-12-02
54204,31,33.42,0.93,0.93,2021-12-02
54205,33,43.65,0.76,0.76,2021-12-02
54207,0,3.03,0.0,0.0,2021-12-02
54208,115,133.87,0.86,0.86,2021-12-02
54209,13,27.56,0.47,0.47,2021-12-02
54210,3,15.75,0.19,0.19,2021-12-02
54211,0,5.38,0.0,0.0,2021-12-02
54212,20,21.51,0.93,0.93,2021-12-02
54403,886,509.74,1.74,1.74,2021-12-02
54467,339,293.06,1.16,1.16,2021-12-02
54405,79,63.62,1.24,1.24,2021-12-02
54407,19,30.51,0.62,0.62,2021-12-02
54441,28,19.18,1.46,1.46,2021-12-02
54442,22,24.11,0.91,0.91,2021-12-02
54443,64,44.52,1.44,1.44,2021-12-02
54446,30,64.27,0.47,0.47,2021-12-02
54447,4,9.12,0.44,0.44,2021-12-02
54448,215,91.37,2.35,2.36,2021-12-02
54449,896,531.54,1.69,1.69,2021-12-02
54450,7,9.46,0.74,0.74,2021-12-02
54451,353,237.03,1.49,1.49,2021-12-02
54440,80,61.56,1.3,1.3,2021-12-02
54452,562,382.58,1.47,1.47,2021-12-02
54455,824,377.74,2.18,2.19,2021-12-02
54456,165,122.59,1.35,1.35,2021-12-02
54457,302,169.5,1.78,1.78,2021-12-02
54458,0,2.04,0.0,0.0,2021-12-02
54459,31,25.73,1.2,1.2,2021-12-02
54460,78,55.16,1.41,1.41,2021-12-02
54462,4,7.42,0.54,0.54,2021-12-02
54463,24,12.39,1.94,1.94,2021-12-02
54465,0,10.29,0.0,0.0,2021-12-02
54454,31,28.1,1.1,1.1,2021-12-02
54437,57,63.37,0.9,0.9,2021-12-02
54436,38,49.8,0.76,0.76,2021-12-02
54435,43,42.23,1.02,1.02,2021-12-02
54408,22,20.72,1.06,1.06,2021-12-02
54409,408,268.12,1.52,1.52,2021-12-02
54410,67,53.91,1.24,1.24,2021-12-02
54411,164,108.62,1.51,1.51,2021-12-02
54412,70,42.32,1.65,1.65,2021-12-02
54413,0,3.1,0.0,0.0,2021-12-02
54414,110,73.16,1.5,1.5,2021-12-02
54416,62,37.08,1.67,1.67,2021-12-02
54417,0,0.81,0.0,0.0,2021-12-02
54418,15,20.08,0.75,0.75,2021-12-02
54420,23,26.35,0.87,0.87,2021-12-02
54421,116,76.26,1.52,1.52,2021-12-02
54422,29,27.14,1.07,1.07,2021-12-02
54423,40,48.78,0.82,0.82,2021-12-02
54424,43,31.82,1.35,1.35,2021-12-02
54425,46,43.54,1.06,1.06,2021-12-02
54426,136,94.22,1.44,1.44,2021-12-02
54427,35,24.63,1.42,1.42,2021-12-02
54428,25,20.91,1.2,1.2,2021-12-02
54430,0,3.24,0.0,0.0,2021-12-02
54433,34,38.74,0.88,0.88,2021-12-02
54406,101,71.15,1.42,1.42,2021-12-02
54637,5,4.05,1.23,1.23,2021-12-02
54836,14,22.03,0.64,0.64,2021-12-02
54639,98,56.28,1.74,1.74,2021-12-02
54870,43,32.17,1.34,1.34,2021-12-02
54871,197,62.39,3.16,3.16,2021-12-02
54872,101,55.74,1.81,1.81,2021-12-02
54873,96,60.38,1.59,1.59,2021-12-02
54874,63,81.06,0.78,0.78,2021-12-02
54875,24,22.03,1.09,1.09,2021-12-02
54876,53,27.37,1.94,1.94,2021-12-02
54880,600,621.74,0.97,0.96,2021-12-02
54888,57,27.08,2.1,2.11,2021-12-02
54868,523,316.9,1.65,1.65,2021-12-02
54889,108,55.04,1.96,1.96,2021-12-02
54893,118,77.03,1.53,1.53,2021-12-02
54895,17,20.16,0.84,0.84,2021-12-02
54896,19,29.66,0.64,0.64,2021-12-02
54901,850,785.48,1.08,1.08,2021-12-02
54902,501,465.88,1.08,1.08,2021-12-02
54904,515,447.22,1.15,1.15,2021-12-02
54909,51,44.46,1.15,1.15,2021-12-02
54911,560,547.63,1.02,1.02,2021-12-02
54913,439,447.07,0.98,0.98,2021-12-02
54891,53,70.67,0.75,0.75,2021-12-02
