ID,date,clusterN,p,RR_C,RR_L
42023,2021-01-01,4.0,1.0,1.32,0.91
47177,2021-01-01,4.0,1.0,1.37,1.94
46015,2021-01-01,1.0,2.0,,
26001,2021-01-01,1.0,1.0,,
13079,2021-01-01,3.0,1.0,,
6073,2021-01-01,4.0,2.0,2.06,1.4
6031,2021-01-01,4.0,2.0,,
38101,2021-01-01,1.0,2.0,,
47141,2021-01-01,4.0,1.0,1.37,1.66
48103,2021-01-01,1.0,2.0,,
20115,2021-01-01,4.0,2.0,1.37,1.32
20139,2021-01-01,4.0,2.0,1.37,0.82
27033,2021-01-01,1.0,2.0,,
17189,2021-01-01,4.0,1.0,,
42009,2021-01-01,3.0,1.0,,
5127,2021-01-01,4.0,1.0,,
31139,2021-01-01,1.0,2.0,,
54033,2021-01-01,4.0,1.0,,
54047,2021-01-01,4.0,2.0,1.14,1.26
41057,2021-01-01,1.0,3.0,,
46041,2021-01-01,2.0,3.0,,
40071,2021-01-01,4.0,1.0,1.37,1.53
13059,2021-01-01,4.0,2.0,1.32,0.81
6071,2021-01-01,4.0,2.0,2.06,2.54
38023,2021-01-01,1.0,1.0,,
4003,2021-01-01,4.0,1.0,,
47069,2021-01-01,3.0,1.0,,
26079,2021-01-01,1.0,2.0,,
26087,2021-01-01,1.0,1.0,,
